theta_deg,c2X_position_mm,gap_position_mm,c2X_velocity_mm_per_deg,gap_velocity_mm_per_deg
1.297297297297297192e+01,4.454513453628142372e+01,1.026192466554555516e+01,-3.374808197627408468e+00,4.126052378524236453e-02
1.301801801801801695e+01,4.439364686343215283e+01,1.026378675670844842e+01,-3.351285235956993347e+00,4.141634650031970205e-02
1.306306306306306197e+01,4.424321330079306591e+01,1.026565586997808133e+01,-3.328005144007915028e+00,4.157230541981755956e-02
1.310810810810810700e+01,4.409382298356712937e+01,1.026753201150267181e+01,-3.304964588920280111e+00,4.172840111579088213e-02
1.315315315315315203e+01,4.394546519579854760e+01,1.026941518745622517e+01,-3.282160294805720024e+00,4.188463416142284429e-02
1.319819819819819706e+01,4.379812936783284272e+01,1.027130540403859449e+01,-3.259589041582735547e+00,4.204100513103026238e-02
1.324324324324324209e+01,4.365180507382871866e+01,1.027320266747552857e+01,-3.237247663839718292e+00,4.219751460006905541e-02
1.328828828828828712e+01,4.350648202932057274e+01,1.027510698401871991e+01,-3.215133049724915981e+00,4.235416314513967828e-02
1.333333333333333215e+01,4.336215008883039701e+01,1.027701835994586688e+01,-3.193242139862589202e+00,4.251095134399259651e-02
1.337837837837837718e+01,4.321879924352791846e+01,1.027893680156071277e+01,-3.171571926294685095e+00,4.266787977553379574e-02
1.342342342342342221e+01,4.307641961893785520e+01,1.028086231519310267e+01,-3.150119451447318308e+00,4.282494901983029123e-02
1.346846846846846724e+01,4.293500147269319456e+01,1.028279490719904388e+01,-3.128881807121417502e+00,4.298215965811565814e-02
1.351351351351351227e+01,4.279453519233337033e+01,1.028473458396074669e+01,-3.107856133506867735e+00,4.313951227279553408e-02
1.355855855855855729e+01,4.265501129314636586e+01,1.028668135188668309e+01,-3.087039618219560300e+00,4.329700744745329510e-02
1.360360360360360232e+01,4.251642041605368405e+01,1.028863521741163822e+01,-3.066429495360718960e+00,4.345464576685547503e-02
1.364864864864864913e+01,4.237875332553718266e+01,1.029059618699676903e+01,-3.046023044597911955e+00,4.361242781695757326e-02
1.369369369369369416e+01,4.224200090760682968e+01,1.029256426712965045e+01,-3.025817590267202650e+00,4.377035418490953650e-02
1.373873873873873919e+01,4.210615416780847653e+01,1.029453946432433042e+01,-3.005810500495873505e+00,4.392842545906136542e-02
1.378378378378378422e+01,4.197120422927060446e+01,1.029652178512139393e+01,-2.985999186345170475e+00,4.408664222896893636e-02
1.382882882882882924e+01,4.183714233078935507e+01,1.029851123608800023e+01,-2.966381100972580676e+00,4.424500508539956634e-02
1.387387387387387427e+01,4.170395982495079323e+01,1.030050782381795216e+01,-2.946953738813102408e+00,4.440351462033771679e-02
1.391891891891891930e+01,4.157164817628964215e+01,1.030251155493174942e+01,-2.927714634779045699e+00,4.456217142699077371e-02
1.396396396396396433e+01,4.144019895948368770e+01,1.030452243607663299e+01,-2.908661363477863304e+00,4.472097609979470284e-02
1.400900900900900936e+01,4.130960385758295672e+01,1.030654047392665262e+01,-2.889791538447559649e+00,4.487992923441989218e-02
1.405405405405405439e+01,4.117985466027303687e+01,1.030856567518271660e+01,-2.871102811409234512e+00,4.503903142777684193e-02
1.409909909909909942e+01,4.105094326217160017e+01,1.031059804657265033e+01,-2.852592871536303587e+00,4.519828327802207640e-02
1.414414414414414445e+01,4.092286166115752621e+01,1.031263759485125142e+01,-2.834259444739994471e+00,4.535768538456383392e-02
1.418918918918918948e+01,4.079560195673183642e+01,1.031468432680034297e+01,-2.816100292970689978e+00,4.551723834806801344e-02
1.423423423423423451e+01,4.066915634840976423e+01,1.031673824922883753e+01,-2.798113213534725752e+00,4.567694277046396162e-02
1.427927927927927954e+01,4.054351713414322234e+01,1.031879936897278860e+01,-2.780296038426250060e+00,4.583679925495036389e-02
1.432432432432432456e+01,4.041867670877311269e+01,1.032086769289544748e+01,-2.762646633673766061e+00,4.599680840600117726e-02
1.436936936936936959e+01,4.029462756251064803e+01,1.032294322788732721e+01,-2.745162898700995946e+00,4.615697082937151446e-02
1.441441441441441462e+01,4.017136227944718030e+01,1.032502598086625234e+01,-2.727842765701695704e+00,4.631728713210361836e-02
1.445945945945945965e+01,4.004887353609196055e+01,1.032711595877742106e+01,-2.710684199028088770e+00,4.647775792253275307e-02
1.450450450450450468e+01,3.992715409993704867e+01,1.032921316859346561e+01,-2.693685194592577492e+00,4.663838381029327546e-02
1.454954954954954971e+01,3.980619682804890402e+01,1.033131761731450737e+01,-2.676843779282384705e+00,4.679916540632456101e-02
1.459459459459459474e+01,3.968599466568608847e+01,1.033342931196821723e+01,-2.660158010386842520e+00,4.696010332287706840e-02
1.463963963963963977e+01,3.956654064494244949e+01,1.033554825960987245e+01,-2.643625975036976605e+00,4.712119817351840406e-02
1.468468468468468480e+01,3.944782788341532154e+01,1.033767446732242234e+01,-2.627245789657128405e+00,4.728245057313931743e-02
1.472972972972972983e+01,3.932984958289810606e+01,1.033980794221653987e+01,-2.611015599428278211e+00,4.744386113795985571e-02
1.477477477477477485e+01,3.921259902809686082e+01,1.034194869143068729e+01,-2.594933577762816412e+00,4.760543048553541462e-02
